cnpj;nivel_atividade
14141327000198;BAIXO
14142465000191;MEDIO
14172170000168;BAIXO
14297738000177;ALTO
14466995000195;BAIXO
14583980000107;MEDIO
14597588000117;INATIVO
14617669000131;ALTO
14627814000165;ALTO
14724048000157;ALTO
14752126000208;MEDIO
14880024000197;MEDIO
15080430000138;MEDIO
15095487000100;MEDIO
15134876000106;MEDIO
15139695000164;MEDIO
15153822000180;MEDIO
15190441000170;MEDIO
15244337000111;ALTO
15283614000103;MEDIO
15333580000106;ALTO
15359395000190;MEDIO
15393901000168;BAIXO
15445389000156;MEDIO
15502301000190;ALTO
15543470000179;ALTO
15551444000192;MEDIO
15562892000191;BAIXO
15582037000142;ALTO
15590973000103;MEDIO
15698983000159;MUITO BAIXO
15750435000120;ALTO
15788042000106;MEDIO
15789665000101;ALTO
15914883000112;ALTO
16631702000103;MEDIO
16704833000173;ALTO
16710510000192;ALTO
16749001000173;BAIXO
16761404000138;MEDIO
16815947000190;MEDIO
16822209000170;MEDIO
16850989000162;MEDIO
16892315000120;ALTO
16922038000151;MEDIO
17019072000183;MEDIO
17023770000152;MEDIO
17041785000143;MEDIO
17082897000142;BAIXO
17098339000175;BAIXO
17133338000114;ALTO
17147658000123;BAIXO
17253266000149;MEDIO
17280406000178;MEDIO
17351005000161;ALTO
17541839000130;MEDIO
17615411000194;ALTO
17633119000102;ALTO
17760835000142;BAIXO
17819349000152;BAIXO
17870804000144;MEDIO
17905484000110;MEDIO
17937968000141;MEDIO
18096128000166;ALTO
18291449000111;BAIXO
18303320001662;""
18483666000103;MEDIO
18533004000109;MEDIO
18564675000129;ALTO
18667738000172;ALTO
18731522000129;BAIXO
18774143000116;MEDIO
18782829000159;INATIVO
18783733000105;ALTO
19092914000158;MEDIO
19134936000133;MEDIO
19148183000115;MEDIO
19243972000135;MEDIO
19265786000105;BAIXO
19273157000119;MEDIO
19300500000177;MEDIO
19307647000199;MEDIO
19373338000117;MEDIO
19465056000140;MEDIO
19487802000104;MEDIO
19493565002715;ALTO
19605064000144;MEDIO
19731924000196;MEDIO
19790554000168;MEDIO
19799037000150;MEDIO
19936016000139;ALTO
20068966000178;ALTO
20173792000103;ALTO
20175800000150;MEDIO
20258325000186;BAIXO
20351930000105;MEDIO
20365233000103;ALTO
20394840000193;ALTO
20423429000107;MEDIO
20523639000169;MEDIO
20536871000131;BAIXO
20589216000141;MEDIO
20702523000197;MEDIO
20787025000194;MEDIO
20810398000139;MUITO BAIXO
20811720000144;MEDIO
20812704000176;BAIXO
20885566000155;INATIVO
20891011000116;MEDIO
20915815000108;MEDIO
21098353000227;MEDIO
21112631000172;MEDIO
21162809000190;MEDIO
21222805000150;ALTO
21223788000507;ALTO
21230332000132;ALTO
21294624000139;MEDIO
21304717000105;BAIXO
21336523000183;MEDIO
21354790000183;ALTO
21365209000129;MEDIO
21397783000169;BAIXO
21440762000189;MEDIO
21455417000208;MEDIO
21478156000152;MEDIO
21478652000106;MEDIO
21480776000126;INATIVO
21506499000183;BAIXO
21558453000108;MEDIO
21577256000136;MUITO BAIXO
21784537000160;INATIVO
21825998000133;ALTO
21871351000148;BAIXO
22011034000114;MEDIO
22063144000120;ALTO
22069520001165;ALTO
22077957000179;MEDIO
22137318000151;MEDIO
22168847000112;ALTO
22435095000109;MEDIO
22686526000100;MEDIO
22726784000172;MEDIO
22727852000118;MEDIO
22736621000170;ALTO
22768106000172;MEDIO
22784815000141;BAIXO
22841238000182;MEDIO
22913508000113;ALTO
22915032000150;MEDIO
22928288000100;MEDIO
22945818000110;MEDIO
22957079000186;BAIXO
22970169000107;BAIXO
22988817000152;BAIXO
23178894000100;ALTO
23216314000121;BAIXO
23250448000169;ALTO
23319450000147;BAIXO
23393923000156;MEDIO
23420449000104;MEDIO
23458447000104;MEDIO
23470401000100;MEDIO
23494284000115;BAIXO
23672382000103;MEDIO
23725062001480;ALTO
23759722000120;MEDIO
23789199000184;MEDIO
23791521000100;MEDIO
23922623000117;MEDIO
23975068000191;MEDIO
24040339000180;ALTO
24133245000155;ALTO
24193487000134;MEDIO
24211931000105;ALTO
24213690000125;MEDIO
24216311000150;MEDIO
24252092000165;MEDIO
24392381000160;MEDIO
24401243000108;MEDIO
24418383000180;MEDIO
24440746000184;MEDIO
24448794000119;ALTO
24461803000101;MEDIO
24488997000139;MEDIO
24690924000125;BAIXO
24706502000109;MEDIO
24787963000226;""
24816457000137;MEDIO
24931439000104;INATIVO
25003463000138;ALTO
25006612000112;MEDIO
25049796000106;BAIXO
25132269000152;MEDIO
25192026000100;MEDIO
25281498000139;MEDIO
25307054000125;MEDIO
25357566000104;MEDIO
25362803000117;ALTO
26050337000288;""
26059663000175;MEDIO
26065083000190;MEDIO
26112885000104;BAIXO
26178879000150;MEDIO
26327259000135;ALTO
26351344000139;ALTO
26375962000119;BAIXO
26439898000192;MEDIO
26518276000150;ALTO
26529865000133;ALTO
26686780000169;BAIXO
26710831000140;MEDIO
26728440000153;MEDIO
26767461000188;MEDIO
26796803000198;MEDIO
26822892000108;MUITO BAIXO
26914519000179;MEDIO
26929033000104;MEDIO
27169053000197;BAIXO
27351608000117;MUITO BAIXO
27357492000123;ALTO
27363976000185;BAIXO
27402491000153;MEDIO
27415226000100;ALTO
27426993000114;INATIVO
27469112000142;MEDIO
27522908000111;BAIXO
27545977000140;ALTO
27596187000194;MEDIO
27638652000102;ALTO
27736380000183;MEDIO
27742013000192;MEDIO
27747332000190;ALTO
27767271000123;MEDIO
27836505000147;MEDIO
27850107000185;MEDIO
27928346000100;ALTO
27929556000113;MEDIO
27941064000143;MEDIO
27989590000183;BAIXO
28039446000149;BAIXO
28095259000182;INATIVO
28116008000137;MEDIO
28117111000100;MEDIO
28188870000317;BAIXO
28296330000195;MEDIO
28313203000157;ALTO
28314380000158;MEDIO
28325627000131;MEDIO
28421871000106;MEDIO
28436176000100;ALTO
28450143000114;ALTO
28617468000149;BAIXO
28637274000105;MEDIO
28655160000198;BAIXO
28667825000183;MEDIO
28694253000121;MEDIO
28712160000182;ALTO
28723629000189;MEDIO
28751934000184;BAIXO
28767055000140;MEDIO
28805013000157;ALTO
28901685000166;BAIXO
28905460000188;MUITO BAIXO
28966979000176;MEDIO
28987640000237;MEDIO
29000412000103;ALTO
29046495000171;BAIXO
29056938000105;MEDIO
29087923000104;MEDIO
29145682000102;BAIXO
29194021000177;MEDIO
29385573000162;MEDIO
29414514000175;MEDIO
29451708000140;MEDIO
29558066000183;MEDIO
29623207000102;MEDIO
29744778537328;MUITO BAIXO
29746995000116;ALTO
29751902000141;ALTO
29831675000164;MEDIO
29840239000151;MEDIO
29876958000122;MEDIO
29907111000168;BAIXO
29922636000172;MEDIO
29942036000176;MEDIO
29961246000101;BAIXO
30002292000162;MEDIO
30008552000107;MEDIO
30011586000150;MEDIO
30030197000172;MEDIO
30036407000130;MEDIO
30044897000116;MEDIO
30170736000179;ALTO
30186430000100;ALTO
30284277000235;BAIXO
30314929000156;MEDIO
30350338000134;MEDIO
30386091000106;ALTO
30408760000101;MEDIO
30428814000192;MEDIO
30478322000101;MEDIO
30484648000141;MEDIO
30504662000160;MEDIO
30516129000118;MEDIO
30553089000184;ALTO
30559901000189;MEDIO
30618187000152;ALTO
30739827000182;MEDIO
30776837000198;MEDIO
30781833000106;MEDIO
30791037000146;MEDIO
30843003000158;MEDIO
30948154000170;BAIXO
31037868000190;MEDIO
31143870000143;MEDIO
31293758000199;BAIXO
31300369000143;MEDIO
31432303000107;MEDIO
31542809000179;MEDIO
31592984000170;MEDIO
31654513000140;BAIXO
31655353000153;ALTO
31697619000120;MUITO BAIXO
31768748000162;INATIVO
31858918000108;ALTO
31877950000122;MEDIO
31882482000184;BAIXO
31972238000102;MEDIO
31982105000117;ALTO
32023340000124;MUITO BAIXO
32052012000156;ALTO
32072298000131;MEDIO
32084984000122;MEDIO
32095060000121;ALTO
32164195000100;ALTO
32167919000160;MEDIO
32183971000100;MEDIO
32286870000165;ALTO
32288356000169;ALTO
32293353000113;BAIXO
32457589000148;MEDIO
32471738000123;MEDIO
32471890000106;MEDIO
32479856000188;BAIXO
32481174000100;MEDIO
32623016000147;ALTO
32652999000140;ALTO
32669120000172;MEDIO
32678007000153;MEDIO
32679652000190;ALTO
32801608000101;MUITO BAIXO
32874073000107;BAIXO
32887621000125;MEDIO
32899843000168;BAIXO
32968140000144;MEDIO
33009525000147;MEDIO
33043278000103;MEDIO
33044237000123;BAIXO
33065394000115;MEDIO
33069053000118;ALTO
33074632000159;ALTO
33120083000101;MEDIO
33213298000177;BAIXO
33213460000157;MEDIO
33325174000183;MEDIO
33345306000139;MEDIO
33391415000192;MEDIO
33461495000105;MEDIO
33466576000106;MEDIO
33493715000425;MUITO BAIXO
33499493000105;BAIXO
33505386000142;MEDIO
33529933000120;MEDIO
33537455000108;MEDIO
33625478000166;MEDIO
33629104000542;""
33631877000482;MEDIO
33681501000130;ALTO
33683965000185;MEDIO
33699709000186;MEDIO
33724500000125;MEDIO
33741338000153;BAIXO
33758297000108;BAIXO
33863161000168;MUITO BAIXO
33877617000149;MEDIO
33890689000126;MEDIO
33902072000183;INATIVO
34022306000160;MEDIO
34048622000101;ALTO
34090842000101;MEDIO
34133324000110;MEDIO
34175492000178;BAIXO
34230979011302;ALTO
34279228000184;BAIXO
34292288000137;MEDIO
34420769000180;MEDIO
34531346000138;BAIXO
34564874000193;MEDIO
34565899000101;MEDIO
34566482000163;ALTO
34605649000158;ALTO
34636893000188;ALTO
34639858000112;ALTO
34682067000175;MEDIO
34683954000168;ALTO
34747176000123;BAIXO
34777597000105;MEDIO
34797769000102;MEDIO
34813182000131;ALTO
34838479000151;MEDIO
34873219000117;MEDIO
34896238000169;MEDIO
35069233000125;MEDIO
35104386000166;ALTO
35110578000185;MEDIO
35133342000164;MEDIO
35154412000160;ALTO
35206871000140;BAIXO
35263315000106;BAIXO
35296339000161;MEDIO
35353751000176;ALTO
35357616000107;MEDIO
35380810000103;ALTO
35392550000188;MEDIO
35417276000154;MEDIO
35460793000106;MEDIO
35488018000169;MEDIO
35523065000104;BAIXO
35593191000127;ALTO
35594110000103;MEDIO
35597915000100;MEDIO
35637083000109;MEDIO
35637836000186;MEDIO
35737608000188;ALTO
35763139000171;ALTO
35786917000148;MEDIO
35786993000153;ALTO
35805544000105;ALTO
35842551000187;MEDIO
35857738000154;MEDIO
35995003000197;ALTO
36010880000124;MEDIO
36012579000150;ALTO
36022306000196;MEDIO
36026097000159;BAIXO
36041852000174;MEDIO
36042033000141;MEDIO
36083747000106;ALTO
36096520000197;MEDIO
36138273000144;MEDIO
36249472000120;ALTO
36277896000106;MEDIO
36308027000193;MEDIO
36325936000130;MEDIO
36390230000151;MEDIO
36440159000174;ALTO
36447468000176;MEDIO
36457045000137;MEDIO
36467822000124;MEDIO
36486896000108;MEDIO
36512245000145;MEDIO
36512545000124;MEDIO
36540345000185;MEDIO
36543344000194;MEDIO
36577735000120;BAIXO
36639900000120;MEDIO
36667511000109;MEDIO
36729345000128;BAIXO
36790238000105;MEDIO
36803298000115;ALTO
36804618000151;MEDIO
36903229000183;BAIXO
36923304000178;MEDIO
36939081000137;MEDIO
36959904000196;MEDIO
36995633000124;ALTO
37004234000117;MEDIO
37005205000170;MEDIO
37011193000196;BAIXO
37013105000195;ALTO
37088466000605;ALTO
37114680000184;MEDIO
37159176000109;ALTO
37230041000184;MEDIO
37328858000190;MEDIO
37403958000133;ALTO
37424665000132;MEDIO
37434877000109;BAIXO
37522811000162;ALTO
37573229000125;MEDIO
37668354000119;MEDIO
37741760000160;ALTO
37747613000105;MEDIO
37780197000139;MEDIO
37830251000103;BAIXO
37867796000194;MEDIO
37922446000183;MUITO BAIXO
37923444000109;MEDIO
37925132000134;MEDIO
37946234000136;MEDIO
37952358000124;MEDIO
38071176000107;MEDIO
38084595000183;MEDIO
38093997000144;MEDIO
38098183000100;ALTO
38102326000100;MEDIO
38114770000138;ALTO
38125222000103;ALTO
38128771000131;MEDIO
38158729000163;MEDIO
38178443000140;MEDIO
38202997000135;ALTO
38212481000171;MEDIO
38221075000175;MEDIO
38222606000144;MEDIO
38224867000101;MEDIO
38304276000136;MEDIO
38320987000102;MEDIO
38327659000120;ALTO
38435264000140;MEDIO
38456921000136;BAIXO
38541291000106;BAIXO
38627052000165;ALTO
38649146000135;ALTO
38823835000114;BAIXO
38949711000180;ALTO
39154823000107;ALTO
39199258000102;ALTO
39247518000160;ALTO
39276946000110;MEDIO
39284093000169;BAIXO
39310184000121;MEDIO
39344616000115;MEDIO
39390799000105;MEDIO
39414269000150;BAIXO
39414857000193;MEDIO
39417717000179;BAIXO
39429794000149;MEDIO
39468942000134;ALTO
39486765000119;ALTO
39502462000142;MEDIO
39508772000174;MEDIO
39610442000195;BAIXO
39681476000170;MEDIO
39698539000100;ALTO
39752253000157;ALTO
39858648000139;MEDIO
39871768000176;ALTO
39899807000143;MEDIO
40023510000107;MEDIO
40028794000116;ALTO
40042818000191;ALTO
40095171000166;MEDIO
40127354000116;MEDIO
40141224000138;MEDIO
40175920000165;MEDIO
40187637000153;MEDIO
40197462000165;ALTO
40246791000159;MEDIO
40279026000135;ALTO
40286193000103;MEDIO
40288996000105;MEDIO
40305082000105;MEDIO
40308008000134;MEDIO
40345260000113;MEDIO
40418131000108;MEDIO
40433619000104;MEDIO
40459832000195;MEDIO
40497769000181;ALTO
40539386000129;ALTO
40557721000111;MEDIO
40618582000199;ALTO
40632940000118;MEDIO
40634977000185;ALTO
40701172000107;MEDIO
40739687000104;ALTO
40743473000101;ALTO
40769716000172;ALTO
40820118000180;ALTO
40824303000143;MEDIO
40849711000150;ALTO
40867324000146;MEDIO
40870596000103;MEDIO
40897252000180;MEDIO
40943661000175;BAIXO
40963416000120;MEDIO
40998249000152;MEDIO
41007021000116;MEDIO
41030671000182;MEDIO
41068802000110;ALTO
41085656000131;ALTO
41089452000179;MEDIO
41121706000199;MEDIO
41140950000107;ALTO
41142740000140;MEDIO
41195385000177;ALTO
41210763000144;MEDIO
41238769000120;MEDIO
41247700000162;MEDIO
41281263000101;MEDIO
41282883000157;ALTO
41331331000191;MEDIO
41395144000171;MEDIO
41414523000161;MEDIO
41436046000135;MEDIO
41441393000156;MEDIO
41441851000157;BAIXO
41459432000142;MEDIO
41499175000172;ALTO
41528719000187;ALTO
41529789000150;MEDIO
41534010000275;MEDIO
41543813000105;MEDIO
41582387000119;MEDIO
41586104000107;MEDIO
41590234000113;ALTO
41593015000198;MEDIO
41600757000101;MEDIO
41643752000158;MEDIO
41661732000100;BAIXO
41669187000106;MEDIO
41669399000185;ALTO
41674537000114;ALTO
41684749000182;BAIXO
41693073000193;BAIXO
41718338000160;ALTO
41726248000111;MEDIO
41727723000174;BAIXO
41746848000141;ALTO
41803457000111;MEDIO
41805229000180;ALTO
41824014000107;MEDIO
41830317000132;BAIXO
41840549000171;MEDIO
41847046000128;MEDIO
41876424000100;MEDIO
41888814000191;MEDIO
41941123000104;MEDIO
41951553000107;ALTO
41994830000169;MEDIO
42043664000188;MEDIO
42062829000169;MEDIO
42087086000181;BAIXO
42134834000130;MEDIO
42159208000106;MEDIO
42241293000149;MEDIO
42245564000134;MEDIO
42247717000182;BAIXO
42312145000178;BAIXO
42339453000197;MEDIO
42412942000127;BAIXO
42440824000122;MEDIO
42474075000154;MEDIO
42502857000150;MEDIO
42505590000154;MEDIO
42506251000192;BAIXO
42566706000165;MEDIO
42578066000103;BAIXO
42602511000123;MEDIO
42608247000135;MEDIO
42622579000174;MEDIO
42648860000186;ALTO
42660136000178;MEDIO
42664618000104;MEDIO
42668056000169;MEDIO
42673528000171;MEDIO
42705676000120;MEDIO
42716284000167;ALTO
42791177000101;ALTO
42865598000121;BAIXO
42867510000100;MEDIO
42878630000103;ALTO
42892223000150;ALTO
42930660000111;ALTO
42936532000185;MEDIO
42946302000288;""
43034553000178;MEDIO
43040188000104;MEDIO
43062647000150;MEDIO
43068916000196;MEDIO
43134152000190;MEDIO
43137167000101;MEDIO
43144353000178;MEDIO
43154847000133;MEDIO
43184176000153;MEDIO
43235616000154;ALTO
43267853000105;MEDIO
43312319000165;MEDIO
43400409000108;MEDIO
43442891000149;MEDIO
43471217000192;ALTO
43478928000199;BAIXO
43573015000151;BAIXO
43581447000104;MEDIO
43603965000181;MEDIO
43626724000158;ALTO
43632594000166;MEDIO
43634515000156;MEDIO
43655651000122;ALTO
43665832000130;MEDIO
43702150000150;MEDIO
43724583000106;BAIXO
43783823000143;MEDIO
43794985000187;MEDIO
43808729000100;MEDIO
43836141000151;MEDIO
43841842000189;ALTO
43862394000108;BAIXO
43877970000182;MEDIO
43915959000160;ALTO
43945192000111;ALTO
43970361000173;MEDIO
44019129000117;MEDIO
44031356000168;MEDIO
44032879000129;ALTO
44054266000192;MEDIO
44061863000144;ALTO
44099195000144;MUITO BAIXO
44104519000195;ALTO
44108378000189;ALTO
44130725000170;MEDIO
44131079000165;MEDIO
44136953000157;ALTO
44156502000181;ALTO
44161160000198;ALTO
44166330000127;BAIXO
44200268000142;BAIXO
44207972000127;ALTO
44223026000174;MEDIO
44248149000160;MEDIO
44258780000140;MEDIO
44289248000190;MEDIO
44293586000103;MEDIO
44306593000194;MEDIO
44331271000103;MEDIO
44335720000183;MEDIO
44351157000137;MEDIO
44374789000116;MEDIO
44383435000138;MEDIO
44383810000140;MEDIO
44408009000101;MEDIO
44414998000146;MEDIO
44416163000125;MEDIO
44427659000102;ALTO
44463441000103;ALTO
44510285000186;MEDIO
44523826000100;MEDIO
44556021000163;ALTO
44650954000115;MEDIO
44655269000181;ALTO
44677937000171;ALTO
44796197000192;BAIXO
44822492000176;ALTO
44823472000110;MEDIO
44825303000119;MEDIO
44849878000171;MEDIO
44913455000173;MEDIO
44932009000106;MEDIO
44949074000144;MEDIO
44967385000136;MEDIO
45014240000183;MEDIO
45022490000165;BAIXO
45066566000154;ALTO
45089140000116;MEDIO
45127377000144;ALTO
45135917000131;MEDIO
45151942000109;MEDIO
45166236000130;MEDIO
45178106000118;BAIXO
45214382000194;ALTO
45227118000195;BAIXO
45242914000105;ALTO
45306905000122;MEDIO
45312171000194;MEDIO
45339428000100;MEDIO
45346513000197;MEDIO
45347345000154;MEDIO
45359257000172;ALTO
45386998000142;MUITO BAIXO
45395105000125;ALTO
45453214000151;ALTO
45473668000194;MEDIO
45480686000101;ALTO
45503616000113;ALTO
45509134000170;BAIXO
45558477000125;MEDIO
45563449000104;MEDIO
45582695000103;MEDIO
45673222000103;""
45677309000159;ALTO
45684694000161;""
45715558000191;""
45728964000199;""
45751033000101;""
45824050000121;""
45831071000174;""
45843338000143;""
45871071000106;""
45900749000123;""
45908833000193;""
45911926000177;""
45957362000103;MEDIO
45964847000124;""
45995805000150;""
46032891000169;""
46077147000180;""
46088517000185;""
46135285000179;""
46196112000160;""
46206854000120;""
46207865000124;""
46212463000118;""
46222293000152;""
46239738000107;""
46351432000148;""
46482932000119;""
46563790000114;""
46579534000115;""
46657846000108;""
46677371000103;""
46765714000191;""
46790011000113;""
46812382000159;""
46851571000130;""
46859527000177;""
46864191000130;""
46946577000191;""
46947153000141;""
47000081000193;""
47033137000106;""
47051730000185;""
47056789000166;""
47154826000179;""
47180064000185;""
47181506000108;""
47209865000126;""
47218535000105;""
47221589000111;""
47257622000163;""
47259459000178;""
47292710000104;""
47314625000191;""
47331098000123;""
47337552000153;""
47337949000145;""
47343955000105;""
47367309000188;""
47404069000144;""
47406834000165;""
47407015000132;""
47450862000180;""
47468075000165;""
47503241000117;""
47509614000167;""
47514729000140;""
47533946000187;""
47546848000184;""
47571384000166;""
47597264000138;""
47601500000142;""
47646560000181;""
47679959000169;""
47723148000118;""
47730370000148;""
47778553000133;""
47854601000125;""
47861233000142;""
47868704000144;""
47893141000144;""
47944771000109;""
47964675000114;""
47983398000197;""
47996656000170;""
48000597000109;""
48024544000110;""
48051232000103;""
48054684000130;""
48076114000141;""
48083263000138;""
48103335000161;""
48106084000179;""
48130313000190;""
48133726000129;""
48172395000136;""
48187798000159;""
48193348000179;""
48195692000105;""
48210136000152;""
48242488000190;""
48264929000154;""
48276427000143;""
48276816000179;""
48285179000105;""
50447952000126;ALTO
51218147000193;ALTO
51842441000171;MEDIO
51892396001999;BAIXO
54712518000187;ALTO
56698152000164;MEDIO
59717553000102;ALTO
59754309000110;MUITO BAIXO
60398369000479;ALTO
60651809000105;ALTO
60770336000165;ALTO
61024352000171;ALTO
61409892000173;ALTO
61584140000149;ALTO
61882874000104;ALTO
64250004000100;ALTO
64816986000155;ALTO
65714164000479;BAIXO
68676485000171;MUITO BAIXO
71476527000135;ALTO
72478605000101;MEDIO
72685464000190;MUITO BAIXO
74077801000191;MEDIO
74137183000128;BAIXO
78021540000149;ALTO
78298205000192;ALTO
79267134000123;ALTO
80984727000190;BAIXO
84453844036298;ALTO
86550951000150;ALTO
86837036000140;MEDIO
87762563000103;ALTO
88123724000173;MUITO BAIXO
88212113115268;""
90563404000186;MEDIO
91612119000170;ALTO
91669747000192;ALTO
92665611000177;ALTO
93816189000176;MEDIO
96586003000128;ALTO
96837760000127;BAIXO
00001180000126;ALTO
00061849000175;MUITO BAIXO
00272185000193;ALTO
00284924000248;BAIXO
00609064000194;MUITO BAIXO
00667423000160;MEDIO
00695260000129;MEDIO
00743065000127;ALTO
00799371000185;MEDIO
00809678000110;MUITO BAIXO
00906520000168;MEDIO
00969873000107;BAIXO
01061182000173;BAIXO
01083498000247;MEDIO
01138321000110;MUITO BAIXO
01286753000178;MUITO BAIXO
01317322000121;MEDIO
01566103000186;MEDIO
01649895000152;BAIXO
01662231000123;MEDIO
01678008000840;MUITO BAIXO
01742739000131;BAIXO
01845760000162;MEDIO
01921476000128;ALTO
01938783000111;ALTO
01965790000102;ALTO
01996201000153;MEDIO
02020564000111;MEDIO
02062747000108;ALTO
02196613000171;MUITO BAIXO
02229645000126;MUITO BAIXO
02325391000140;ALTO
02351877000152;ALTO
02359572000278;ALTO
02429144000193;ALTO
02503345000193;ALTO
02504165000126;BAIXO
02514606000170;MEDIO
02533083000100;MEDIO
02572814000126;MEDIO
02587927000286;MEDIO
02604860000160;ALTO
02623721000183;ALTO
02744588000113;MEDIO
02790533000140;ALTO
02854265000182;MEDIO
02936952000147;MEDIO
02970193000139;ALTO
03064878000189;ALTO
03172416000185;ALTO
03176876000181;MUITO BAIXO
03317193000105;ALTO
03430870000199;MEDIO
03502620000117;ALTO
03735296000187;MEDIO
03765078000195;MEDIO
03803759000109;MEDIO
04003464000102;MEDIO
04073837000200;MEDIO
04080169000150;MEDIO
04121282000136;MEDIO
04160046000129;MEDIO
04203887000176;BAIXO
04345125000104;BAIXO
