cnpj;empresa_porte
08915573000157;PEQUENA
08997377000179;MICRO
09004236000170;PEQUENA
09004768000108;PEQUENA
09032678000120;GRANDE
09059984000150;PEQUENA
09188835000191;MICRO
09227346000100;PEQUENA
09251116000178;PEQUENA
09374462000143;MICRO
09592134000113;MICRO
09813331000115;MICRO
10192700000189;PEQUENA
10374048000113;PEQUENA
10384070000144;PEQUENA
10406084000111;MEI
10515756000399;GRANDE
10517099000157;MICRO
10527341000173;MICRO
10534376000130;MICRO
10549578000155;MICRO
10587808000170;MICRO
10637663000175;PEQUENA
10673609000185;PEQUENA
10697263000155;MICRO
10750918000101;MICRO
10816245000307;PEQUENA
10851805000100;GRANDE
10862935000130;PEQUENA
10932319000109;MICRO
10951803000185;MICRO
10979467000189;MICRO
11012073000110;MICRO
11061102000133;MEDIA
11157616000197;MICRO
11195464000117;MICRO
11308201000177;MICRO
11387806000109;MICRO
11428282000149;PEQUENA
11446493000104;PEQUENA
11467226000113;MICRO
11571425000177;MEDIA
11580509000177;MEI
11651555000110;MICRO
11653835000167;MEI
11667478000196;MICRO
11704447000168;PEQUENA
11755953000186;MEI
11855682000130;PEQUENA
11940661000113;MICRO
11973508000192;MEI
11992487000152;MEI
12019612000458;MEDIA
12084928000180;MEI
12100062000154;MICRO
12122466000149;MICRO
12127823000161;MEDIA
12230605000158;PEQUENA
12255863000199;MICRO
12382307000183;MEI
12392269000140;MEI
12450948000128;MEI
12539773000120;MICRO
12579681000173;MEI
12633521000165;MICRO
12635573000170;MICRO
12686207000140;MEI
12703267000124;MEI
12716779000125;MEI
12788492000100;PEQUENA
12836221000183;MEI
12860819000108;MEI
12879918000131;PEQUENA
12976749000158;MEI
12990151000113;PEQUENA
12995143000160;MEI
12997799000111;PEQUENA
13018341000136;MICRO
13056348000142;MEDIA
13057096000176;PEQUENA
13094568000160;MICRO
13170778000271;MICRO
13171869000140;MEI
13199298000152;PEQUENA
13241068000104;PEQUENA
13321030000141;MICRO
13330740000138;PEQUENA
13342119000194;MICRO
13347698000168;MEI
13440564000197;MEI
13450764000120;MEI
13484151000376;MICRO
13533967000180;MEI
13574014000160;MEI
13638876000100;MICRO
13723027000154;MICRO
13788120000147;GRANDE
13814957000113;MEI
14016907000153;MEI
14039205000195;MEI
14080185000104;MICRO
14110585000107;GRANDE
14125487000143;PEQUENA
14172655000151;MICRO
14178274000180;MEI
14191653000100;MICRO
14321520000100;MEI
14323057000136;MEI
14341905000130;MICRO
14386454000157;PEQUENA
14413639000103;MICRO
14440687010749;PEQUENA
14569314000114;MICRO
14693046000148;MEI
14776142000150;GRANDE
14921780000117;MICRO
15169184000195;MEI
15184744000180;MEI
15284251000112;MEI
15284637000124;MEDIA
15387326000190;MICRO
15475369000128;PEQUENA
15497290001250;PEQUENA
15551000000157;MICRO
15552992000137;MICRO
15599922000134;MEI
15604356000101;MICRO
15665711000152;MEI
15688770000146;MICRO
15742359000101;MEI
15868256000192;MEI
15873959000109;MICRO
15912456000103;MEI
16368884000171;MICRO
16514810000104;MEI
16520265000231;MEDIA
16543172000141;MEI
16614075000100;GRANDE
16638979000168;MICRO
16665805000194;PEQUENA
16676520000159;GRANDE
16722060000158;MICRO
16811931000100;GRANDE
16869122000159;MEI
16921674000169;MICRO
16928119000169;MICRO
16938547000172;MEI
16989228000196;GRANDE
17150436000160;MEI
17154284000173;GRANDE
17161241000115;GRANDE
17162983003695;GRANDE
17184037000110;GRANDE
17235994000128;MEI
17377165000180;MEI
17420553000104;MEI
17507770000128;PEQUENA
17701488000268;PEQUENA
17706229000149;MEI
17766365000124;MICRO
17794890000153;MEI
17852310000137;MICRO
17904510000196;MEI
17934774000192;PEQUENA
17966810000108;MICRO
18074613000139;MEI
18109292000160;MICRO
18277036000182;MEI
18475840000176;MICRO
18490119000155;MICRO
18506223000190;MEI
18593815000197;GRANDE
18686158000122;MICRO
18695484000104;MEI
18839123000186;MEI
18982856000175;MEI
19013647000186;MEI
19039480000122;MEI
19071769000129;MICRO
19104630000134;MICRO
19112197000189;MEI
19120173000171;MEI
19214869000167;MICRO
19219081000143;MICRO
19224637000190;MEI
19288673000117;MICRO
19426613000113;MEI
19472001000167;MEI
19491839000106;PEQUENA
19526748000150;MEDIA
19570178000104;MEI
19620615000149;MEI
19672123000105;MICRO
19696638000137;MEI
19728288000143;MEI
19744821000160;MEI
19769673000139;PEQUENA
19865504000364;MICRO
19956106000191;MICRO
19963557000156;MICRO
20029751000148;MEI
20050763000154;MEI
20068646000118;MEI
20164202000267;MICRO
20296577000108;MICRO
20477561000193;MEI
20626173000127;MEI
20687175000126;PEQUENA
20744927000143;MICRO
20811503000154;MICRO
20875911000170;MICRO
20952445000189;MEI
20965843000130;MICRO
21069343000182;MEI
21071895000125;MICRO
21086819000193;MEI
21151721000172;MEI
21151912000134;MICRO
21187311000181;MICRO
21262713000101;MICRO
21268868000147;MEI
21351364000196;MEI
21423357000152;MEI
21495881000139;GRANDE
21594932000180;PEQUENA
21599592000260;MICRO
21605560000140;MICRO
21685068000121;MEI
21735007000121;MEI
21794791000149;MEI
21824829000189;MEI
21921768000178;PEQUENA
21964289000139;MEI
21976760000109;MEI
22096790000193;MEI
22161089000100;MICRO
22176426000133;MEI
22208241000163;MEI
22262188000189;MEI
22262812000148;MEI
22319254000100;MEI
22362166000190;MEI
22362868000174;MEI
22364143000115;MICRO
22367570000157;MICRO
22371055000140;MICRO
22494259000179;MEI
22494669000110;MEI
22539437000130;MICRO
22762211000102;MEI
22855254000124;MEI
22887934000120;MEI
22917700000188;MEI
22949375000135;MEI
22958687000105;MEI
22970813000147;MEI
22989912000170;MEI
23102512000164;MICRO
23103854000107;MICRO
23283758000180;MEI
23321445000179;MEI
23406904000117;MEI
23456138000103;PEQUENA
23522395000198;MEI
23652531000164;MEI
23688577000133;MICRO
23738361000135;PEQUENA
23820115000128;MICRO
23825390000134;MEI
23932532000162;MICRO
23963501000179;MEI
23994116000199;MICRO
24048538000134;PEQUENA
24059397000155;MEI
24073698000133;MEI
24075322000168;MEI
24128117000113;MICRO
24146039000180;MEI
24148747000150;MEI
24230275000180;GRANDE
24280186000148;MEI
24391778000137;MEI
24446138000187;MEI
24471937000103;MEI
24471994000192;MEI
24505453000138;MICRO
24652431000109;MEI
24722904000199;PEQUENA
24743041000136;MEI
24773047000156;MEI
24784576000155;MEI
24845143000162;MEI
25036269000159;MICRO
25054790000119;MICRO
25096869000102;MEI
25147202000191;MEI
25159135000125;MICRO
25171445000165;MEI
25251355000184;MEI
25280516000168;MEI
25350798000122;MEI
25399517000126;MEI
25450340000145;MEI
25461648000196;MICRO
25463321000153;PEQUENA
25557976000190;MICRO
25737578000156;MEI
25994886000167;MEI
25995145000109;MEI
26009237000127;PEQUENA
26142395000150;MEI
26151430000106;MEI
26173095000139;MEI
26184822000163;MICRO
26215177000107;MEI
26272634000197;MEI
26320297000166;MEI
26344678000185;MICRO
26365485000100;MEI
26372369000119;MICRO
26496474000160;MEI
26609804000186;MEI
26615965000182;MEI
26644785000129;MICRO
26700573000111;MICRO
26712965000109;MICRO
26736112000107;MEI
26741237000117;MICRO
26748031000119;MEI
26774773000119;PEQUENA
26800057000169;MEI
26816626000164;MEI
26867877000178;MEI
26876376000158;MICRO
26878088000132;MEI
26930871000106;MICRO
26941343000144;MEI
26976693000146;MEI
26988887000161;MEI
27082039000151;MEDIA
27188746000127;MICRO
27223300000196;MEI
27228546000150;MEI
27301960000148;MEI
27356380000158;MEI
27365484000129;MEI
27394629000110;MEI
27400325000118;MICRO
27467672000168;PEQUENA
27478564000271;PEQUENA
27480083000110;MEI
27484305000172;MEI
27556390000137;MEI
27578807000162;MEI
27614848000167;MEI
27675238000254;PEQUENA
27837394000193;MEI
27862405000195;MICRO
27914830000180;MICRO
27923267000107;MICRO
27945473000118;PEQUENA
28064187000106;MEI
28099351000110;MEI
28127603000178;GRANDE
28153046000160;PEQUENA
28195667000106;GRANDE
28221996000184;MICRO
28226759000106;MEI
28291031000168;MEI
28324869000100;MEI
28490557000177;PEQUENA
28491080000144;MICRO
28496674000148;PEQUENA
28554577000164;MEI
28596511000137;MEI
28687935000107;PEQUENA
28748106000197;PEQUENA
28767703000169;MICRO
28800956000197;PEQUENA
28826074000109;MEI
28841348000120;MEI
28867911000130;MICRO
28886109000197;PEQUENA
29016616000132;MEI
29031771000128;MEI
29092209000104;MEI
29162349000101;MICRO
29212200000190;MEI
29224222000170;MEI
29252452000142;MICRO
29299250000156;MEI
29311812000130;MICRO
29359596000100;MEI
29401503000150;MICRO
29444358000195;MEI
29469777000262;MICRO
29479093000322;PEQUENA
29548096000109;PEQUENA
29566617000150;MICRO
29666448000120;MICRO
29696258000156;MEI
29733065000128;MEI
29746501000101;MEI
29792503000129;MICRO
29854450000123;MEI
29857872000152;MEI
29867507000129;MICRO
29904774000129;MEI
29988450000116;MEI
30002533000173;MEI
30073607000162;PEQUENA
30081627000185;MEI
30118089000156;MEI
30228521000161;MEI
30423262000120;MICRO
30452272000193;MEI
30471392000138;MEI
30493450000124;PEQUENA
30534909000190;MICRO
30622134000105;MEI
30627087000192;MICRO
30628959000137;MEI
30671309000174;PEQUENA
30675997000140;PEQUENA
30678348000101;MICRO
30685316000125;MEI
30700787000165;PEQUENA
30714040000166;MEI
30731886000104;MEI
30851971000106;MICRO
30866287000106;MEI
30885882000180;MEI
30912084000109;MEI
30916257000159;PEQUENA
31001732000120;MEI
31008799000196;MICRO
31031504000100;PEQUENA
31042763000129;MICRO
31050991000140;MEI
31064568000108;MICRO
31117520000102;MEI
31125649000162;MEI
31185477000112;MEI
31200345000112;MEI
31276717000194;MICRO
31301744000170;MEI
31319170000167;MEI
31362113000160;MEI
31400157000138;MEI
31470634000131;MICRO
31472737000130;MICRO
31578837000146;MEI
31649705000168;MEI
31661287000124;PEQUENA
31673838000170;MICRO
31742758000129;MEI
31754576000178;MEI
31812000000110;MEI
31841898000154;MEI
31882534000112;MEI
31895510000106;MEI
31917480000183;MEI
31975873000143;MICRO
31979117000192;MEI
32001552000100;MEI
32002527000141;MICRO
32122101000121;MEI
32175891000103;MEI
32219696000138;MICRO
32252586000178;MICRO
32261761000193;MEI
32278776000164;PEQUENA
32331869000105;MEI
32345362000100;MEI
32413294000250;MICRO
32445138000190;MEI
32459797000186;MEI
32467397000112;MEI
32479641000167;MEI
32510835000188;MICRO
32560900000180;MEI
32587961000130;PEQUENA
32635499000361;MEDIA
32648231000100;MEI
32669395000106;MEI
32720991000173;MICRO
32765905000149;PEQUENA
32777349000120;MEI
32966049000190;MEI
32982432000131;MICRO
32991061000154;MEI
33026779000173;MEI
33031785000119;MICRO
33117824000103;MEI
33130555000107;PEQUENA
33183890000173;MEI
33196851000100;MEI
33231084000123;MEI
33258201000142;MEI
33267544000173;MEI
33280674000146;MEI
33281203000152;MEI
33311113000167;MEI
33339337000187;MEI
33395014000100;MEI
33418200000118;PEQUENA
33433751000231;MICRO
33438250003000;MEDIA
33445758000192;MEI
33464420000188;MEI
33536568000180;MEI
33581881000130;MEI
33589500000160;MEI
33590439000170;MEI
33620913000160;MEI
33622818000103;MEI
33669394000124;MEI
33712899000124;MICRO
33721716000137;MEI
33834488000101;MEI
33875355000183;MEI
33880471000190;MEI
33931108001048;MEDIA
34007638000176;MEI
34056662000103;MEI
34056792000138;MEI
34071517000193;MEI
34130879000108;MEI
34164667000141;MEI
34196985000194;MEI
34244974000132;MEI
34359500000136;MEI
34364925000133;MICRO
34384571000199;MICRO
34386735000117;MICRO
34407215000143;MEI
34469167000118;PEQUENA
34530393000167;PEQUENA
34631075000192;MEDIA
34640578000124;PEQUENA
34651261000193;MEI
34654869000171;MEI
34697544000176;MEI
34705241000158;MICRO
34735026000108;MEI
34898955000120;MEI
34950269000150;MEI
34961426000123;MEI
34968265000108;MEI
34970130000179;MEI
34971737000173;MEI
35016838000158;MEI
35039428000122;MEI
35055853000105;MICRO
35121385000120;PEQUENA
35122700000133;MEI
35126134000138;MEI
35162428000115;MICRO
35299897000180;MEI
35307703000141;MEI
35346561000121;MEI
35372968000123;MEI
35394475000194;MEI
35415349000179;MEI
35485787000103;MEI
35570493000180;MEI
35581372000133;MICRO
35589797000199;MEI
35607371000110;MEI
35660723000100;MEI
35779348000103;MEI
35797437000182;PEQUENA
35804299000111;MEI
35820071000115;MEI
35873790000102;MEI
35895461000154;PEQUENA
35989758000189;MEI
35991883000123;MEI
35993083000141;MEI
36055145000137;MEI
36075115000192;MEI
36204464000167;MEI
36210044000193;MEI
36348961000139;MICRO
36400898000132;MEI
36411822000102;MEI
36454664000178;MEI
36469634000135;MEI
36490933000151;MEI
36545740000150;MEI
36569905000124;MEI
36581761000121;MEI
36607762000106;PEQUENA
36663389000100;MEI
36663850000117;MEI
36720806000100;MICRO
36742266000157;MEI
36742832000120;MEI
36746368000140;MEI
36759822000106;MEI
36783480000151;MEI
36850794000120;MEI
36855848000140;MEI
36855899000171;MEI
36891468000160;MEI
36933007000103;MICRO
36996520000143;MEI
37019376000158;MEI
37040666000183;MEI
37060739000107;MEI
37069429000145;MEI
37080616000120;MEI
37225639000185;MEI
37236581000175;MEI
37244180000167;MEI
37251301000106;MICRO
37257993000191;MEI
37279468000177;MICRO
37292113000118;MICRO
37322453000144;MEI
37354704000172;MEI
37403149000121;MEI
37439364000182;MEI
37458629000190;MEI
37470469000102;MEI
37481820000152;MEI
37493121000122;MEI
37548858000103;MEI
37604564000143;MEI
37690618000130;MEI
37738925000144;MEI
37741969000123;MEI
37746875000147;MEI
37776144000144;MEI
37776268000120;MEI
37779737000164;MICRO
37784918000189;MEI
37828479000169;MEI
37869979000149;MEI
37951920000103;MEI
38033455000186;MEI
38106242000137;MEI
38115918000159;MEI
38236343000122;PEQUENA
38247308000109;MEI
38278774000151;MEI
38360172000149;PEQUENA
38403118000133;MEI
38425510000183;MEI
38489667000172;MICRO
38650366000189;MEI
38656572000104;MEI
38657552000140;MEI
38663436000133;MEI
38832061000198;MEI
39143750000158;MEI
39254942000131;MEI
39274669000107;MEI
39288680000126;MEI
39294057000186;MEI
39392960000180;MEI
39404945000104;MEI
39424398000129;MEI
39425704000141;MEI
39431912000153;MEI
39444072000163;MEI
39454267000194;MEI
39659880000148;MEI
39735926000160;MICRO
39743078000212;PEQUENA
39797129000108;MEI
39802093000103;MEI
39860497000153;MEI
39862207000100;MEI
39872282000152;MEI
39884828000195;MEI
39893691000135;MEI
39936848000162;MEI
39980007000152;MEI
39986008000104;MEI
39996577000130;MEI
39999108000175;MEI
40005048000107;MICRO
40078292000108;MEI
40090704000117;MICRO
40129294000170;MEI
40185529000141;MEI
40227667000146;MEI
40233817000124;MEI
40239158000133;MEI
40240391000136;MEI
40267305000189;MEI
40283287000129;MEI
40345152000140;MEI
40347538000191;MEI
40359269000183;MEI
40401506000127;MEI
40438441000194;MEI
40509637000122;MEI
40524113000100;MEI
40531630000107;MEI
40538678000228;PEQUENA
40620341000184;MEI
40652181000155;MEI
40663060000109;MEI
40698580000157;MEDIA
40706267000113;MEI
40726261000108;MEDIA
40731591000191;MEI
40755919000100;MEI
40775550000105;PEQUENA
40841234000186;PEQUENA
40952470000170;MEI
40952882000100;MEI
40973635000190;PEQUENA
40997182000131;MEI
41051800000119;MEI
41064111000149;MEI
41083088000130;MEI
41126856000195;MEI
41166745000102;MICRO
41225305000189;MEI
41279355000149;MEI
41323701000149;MEI
41393008000142;MEI
41431549000118;MEI
41456827000191;MEI
41460326000189;MEI
41481421000169;MEI
41508205000160;MEI
41514404000180;MICRO
41539715000102;MICRO
41556035000199;MICRO
41634145000121;MEI
41665400000101;MEI
41708273000172;MEI
41788956000187;MEI
41900086000196;MICRO
41908310000196;MICRO
41912685000120;MEI
41962121000100;MEI
41979684000100;MEI
42043516000163;PEQUENA
42088629000185;PEQUENA
42094353000148;MEI
42140114000187;MEI
42150004000104;PEQUENA
42258300000115;PEQUENA
42269024000190;MEI
42277275000117;MEI
42278473000103;GRANDE
42402318000149;MICRO
42410288000112;MEI
42410394000104;MEI
42420781000113;MEI
42455653000105;MEI
42495109000197;MEI
42506644000104;MICRO
42555728000120;MICRO
42662299000190;MEI
42678928000170;MEI
42715829000110;MEI
42722023000150;MEI
42735213000101;MICRO
42736373000175;MEI
42753910000195;MEI
42776417000190;MEI
42786520000111;MICRO
42821184000109;MEI
42827724000153;MEI
42841929000193;MEI
42877652000159;MEI
42890313000102;MICRO
42944616000160;MEI
42980213000177;MEI
43004867000128;MICRO
43175861000113;MEI
43200978000100;PEQUENA
43216854000112;MEI
43236882000100;MICRO
43244550000169;MEI
43245267000151;MEI
43249725000120;MICRO
43268839000118;MICRO
43295818000191;MEI
43298688000140;MEI
43302709000154;MEI
43329389000126;MEI
43364435000128;MEI
43373854000126;MEI
43397229000114;PEQUENA
43405960000144;MEI
43424831000101;MEI
43468942000101;MEI
43590759000184;MEI
43593255000118;MEI
43642069000121;MICRO
43713158000111;MEI
43736551000120;MEI
43770146000129;MEI
43810687000133;MEI
43821435000100;MEI
43824787000119;MEI
43832496000172;MEI
43878158000171;MEI
43909315000169;MEI
43921027000120;MEI
43950806000153;MICRO
43951943000102;MEI
43976191000134;MEI
44018614000176;MEI
44038027000149;MEI
44115278000180;MEI
44151000000168;MEI
44172649000165;MEI
44182685000100;MEI
44198884000106;MEI
44206806000106;MICRO
44252048000162;MEI
44268547000148;MEI
44269655000135;MEI
44336506000141;PEQUENA
44339831000168;MEI
44381693000185;MEI
44432905000106;MEI
44462378000182;MEI
44516863000191;MICRO
44540875000151;MICRO
44557780000140;MEI
44571835000177;MEI
44572369000144;MEI
44609996000102;MEI
44617606000146;MEI
44620850000168;MEI
44661336000170;MEI
44695950000153;MEI
44742897000102;MICRO
44783007000100;MEI
44835472000130;MICRO
44889740000104;MEI
44892309000109;MICRO
44927914000178;MICRO
45043557000148;MEI
45102146000186;MEI
45108884000130;MEI
45146350000107;MEI
45185961000156;MEI
45207449000163;MEI
45244385000170;MEI
45271208000183;MEI
45280471000139;MEI
45290402000106;MEI
45301162000106;MEI
45311635000148;MEI
45359697000120;PEQUENA
45392148000157;MEI
45424520003770;GRANDE
45442476000110;MEI
45449769000120;MICRO
45471355000105;MEI
45551059000106;MEI
45566399000100;MICRO
45606096000174;MICRO
45613010000130;MEI
45619047000176;MEI
45621933000134;MICRO
45648328000157;MEI
45664421000155;MEI
45708656000100;MEI
45761762000149;MICRO
45817912000199;MEI
45843077000161;MEI
45889092000140;MEI
45890614000124;MEI
45903117000113;MICRO
45914217000145;MEI
45919729000102;MEI
45943298000101;MEI
45949784000137;MICRO
45966210000177;MICRO
45987245000192;GRANDE
45997750000118;MICRO
46039738000163;MEI
46078004000193;MICRO
46090761000182;MEI
46123434000180;MEI
46136520000127;MICRO
46140187000120;MEI
46143874000107;MEI
46146872000163;MEI
46151659000140;MICRO
46168364000186;MICRO
46180896000139;MEI
46253097000145;MEI
46277921000105;MICRO
46282390000130;MEI
46325522000164;MEI
46341867000101;MEI
46362761000194;PEQUENA
46386400000188;MICRO
46389472000189;MEI
46390056000109;MEI
46409260000116;MICRO
46418792000110;MICRO
46441466000123;MICRO
46496914000196;MEI
46516905000110;MEI
46533484000135;MEI
46552991000116;MEI
46555988000156;MICRO
46562006000153;PEQUENA
46566370000191;MEI
46595471000190;MICRO
46640073000149;MICRO
46678106000140;MEDIA
46695486000120;MEI
46715039000196;MEI
46729135000193;MEI
46749061000157;MEI
46758073000148;MEI
46809296000197;MEI
46834277000110;MEI
46853656000158;MEI
46853797000170;MEI
46859084000114;MEI
46875116000175;MEI
46882266000106;MEI
46890440000162;MEI
46920261000120;MEI
46923075000145;MEI
46929883000110;MICRO
46980408000178;MEI
47019818000110;MEI
47025245000137;MEI
47082707000158;MICRO
47147819000140;MEI
47152983000145;MEDIA
47160329000183;MEI
47167578000109;MEI
47222402000102;MEI
47229725000110;MEI
47280834000161;MEI
47338990000136;MEI
47341499000164;MICRO
47344453000107;MEI
47365884000141;MEI
47369959000162;MEI
47387810000106;PEQUENA
47477149000120;MEI
47485578000149;MEI
47508411000156;GRANDE
47514686000100;MEI
47519604000102;MEI
47548773000170;MEI
47554982000127;PEQUENA
47576661000123;MICRO
47639787000108;MEI
47664266000100;MEI
47673808000101;MEI
47698216000136;MEI
47700385000163;MEI
47724453000124;MEI
47733713000128;MEI
47757906000119;MEI
47774595000104;MEI
47776928000126;MEI
47805040000174;MEI
47823631000174;MICRO
47845605000147;MEI
47871358000153;MEI
47903555000107;MICRO
47913040000198;MICRO
47922237000193;MEI
47960950000121;GRANDE
47962029000118;MICRO
47962041000122;MEI
47965760000105;MEI
47976620000124;MEI
48029352000104;MEI
48044928000102;MEI
48054709000104;MEI
48058896000196;MEI
48070134000105;MICRO
48079822000136;PEQUENA
48133473000193;MEI
48135786000180;PEQUENA
48155929000116;MEI
48170511000188;MEI
48174399000153;MEI
48202068000180;MEI
49536717000141;PEQUENA
50564053000103;GRANDE
51110708000721;PEQUENA
51441145000169;MICRO
51479996000281;MEDIA
52635216000127;MICRO
52636412017353;MICRO
56455413000115;MICRO
59213587000160;MEDIA
59285411000113;GRANDE
59320945001458;GRANDE
60113925000170;PEQUENA
60408861000135;PEQUENA
60701190228709;GRANDE
60872504000123;GRANDE
60984366000174;MEI
61317970000100;MICRO
61585865000151;GRANDE
61585865082450;GRANDE
62672415000169;GRANDE
62771134010398;GRANDE
66527284000187;MEI
67010660000124;GRANDE
69102473000104;PEQUENA
72880370000171;MICRO
73130346000188;PEQUENA
73471963000309;GRANDE
73680258000311;MICRO
76045541000602;PEQUENA
78490737000127;MICRO
80150865000173;PEQUENA
80578560000167;MICRO
80749146000173;MICRO
81243735000148;GRANDE
81388514001210;MICRO
82639451008546;GRANDE
83368399000195;PEQUENA
83475913000191;GRANDE
84683374000149;GRANDE
85096097000130;MEDIA
86769155000102;MICRO
87859435000174;MICRO
88610191000154;GRANDE
89805055000182;PEQUENA
90307059000110;PEQUENA
90657289007464;MEDIA
91707851000124;MICRO
91983056000169;GRANDE
93534238000188;MEDIA
93585099000111;MEI
93828986000173;GRANDE
96609029000144;PEQUENA
97548407000190;MICRO
00061284000126;PEQUENA
00359742000108;GRANDE
00597206000140;MICRO
00726887000108;MICRO
00733490000135;MICRO
00860234000290;MICRO
00938574000105;GRANDE
00957192000129;PEQUENA
01005705000164;MICRO
01036784000170;PEQUENA
01203517000140;MICRO
01207056000184;MEDIA
01207970000125;PEQUENA
01228052000182;MICRO
01248111000184;GRANDE
01261993000118;MICRO
01392404000130;MICRO
01556141001634;GRANDE
01702745000165;MICRO
01896779000138;GRANDE
01921896000104;PEQUENA
01945247000143;MICRO
01945689000190;MEDIA
02119505000103;MICRO
02139103000162;MEI
02282282000192;MEI
02289819000146;GRANDE
02365069000144;GRANDE
02395108000156;MICRO
02415583055049;PEQUENA
02635522000195;GRANDE
02651462000102;MEI
02770982000126;MICRO
02817735000138;MICRO
02887282000116;MICRO
02891834000160;MICRO
02905206000277;MICRO
03012001000144;MICRO
03012541000128;MICRO
03052729000108;MICRO
03162549000170;PEQUENA
03207308000109;PEQUENA
03216233000114;MICRO
03220438000173;GRANDE
03359146000116;MICRO
03363580000170;MICRO
03407080000192;PEQUENA
03689415000102;MICRO
03916139000178;PEQUENA
03929849000213;MEDIA
03939099000180;MICRO
03951199000121;MICRO
03969844000133;PEQUENA
04045082000141;MICRO
04134396000110;PEQUENA
04139735000151;PEQUENA
04349432000163;MICRO
04537785000197;MEI
04565760000105;MICRO
04821041000108;GRANDE
04837490000136;PEQUENA
04936219000158;PEQUENA
05067346000120;PEQUENA
05200358000181;GRANDE
05206889000181;PEQUENA
05367048000156;MICRO
05423452000108;MICRO
05793643000153;PEQUENA
05813149000103;PEQUENA
05898941000108;PEQUENA
05929678000177;MICRO
05961768000226;MICRO
05976804000144;PEQUENA
06060146000109;MICRO
06147765000135;PEQUENA
06295584000156;MICRO
06736847000115;MICRO
06882218000101;MEDIA
06928442000189;GRANDE
06935870000139;PEQUENA
07187906000106;MEI
07214053000154;MICRO
07237970000154;MICRO
07324451000123;MICRO
07368820000180;MICRO
07411727000100;MICRO
07471981000102;PEQUENA
07532410000122;PEQUENA
07545198000138;MICRO
07573311000270;MICRO
07573326000157;MICRO
07590109000175;PEQUENA
07594978000178;GRANDE
07627803000110;PEQUENA
07674197000193;PEQUENA
07783122000140;MICRO
07794682000109;PEQUENA
07816890000153;GRANDE
07820907000146;GRANDE
07825163000152;MICRO
07899931000112;PEQUENA
07945562001048;GRANDE
07947748000145;MICRO
07963870000105;MICRO
08043901000172;MICRO
08065557000112;GRANDE
08114789000113;MICRO
08158607000106;PEQUENA
08185060000480;MICRO
08216615000323;PEQUENA
08230747000148;PEQUENA
