cnpj;saude_tributaria
20777943000132;CINZA
20806500000122;CINZA
20872246000160;CINZA
20934984000195;CINZA
20941625000165;CINZA
21016890000108;CINZA
21132306000171;VERDE
21165619000126;CINZA
21165888000192;CINZA
21209500000108;CINZA
21418344000195;VERDE
21457092000103;CINZA
21503641000139;CINZA
21532158000344;CINZA
21545556000133;VERDE
21554618000173;VERMELHO
21619776000164;CINZA
21643328000104;VERMELHO
21656561000113;CINZA
21700753000180;CINZA
21755141000194;CINZA
21761581000154;CINZA
21797670000150;CINZA
21799798000153;CINZA
21806168000169;CINZA
21882863000100;CINZA
21883618000117;CINZA
21885096000192;CINZA
21950959000168;VERDE
21957696000119;CINZA
21979382000117;CINZA
22000009000135;CINZA
22041828000120;CINZA
22163381000162;VERDE
22168825000152;CINZA
22168922000145;CINZA
22203096000128;CINZA
22213082000195;CINZA
22240048000100;CINZA
22267511000107;CINZA
22270572000123;VERDE
22353693000139;CINZA
22383107000441;CINZA
22465266000142;CINZA
22485716000169;CINZA
22526659000119;CINZA
22531817000129;CINZA
22568366000102;CINZA
22609057000125;CINZA
22617368000136;VERDE
22634221000154;CINZA
22638104000169;CINZA
22670615001210;CINZA
22680233000115;VERDE
22761107000195;CINZA
22765718000101;CINZA
22851488000101;CINZA
22863350000114;CINZA
22906458000147;CINZA
22917911000110;VERDE
23056550000128;CINZA
23153659000183;CINZA
23211226000137;VERDE
23249157000150;CINZA
23288453000160;CINZA
23305859000104;CINZA
23309137000128;CINZA
23365438000179;CINZA
23374932000108;VERDE
23426334000127;CINZA
23473489000114;CINZA
23475988000140;CINZA
23485712000143;CINZA
23506854000140;CINZA
23533692000139;CINZA
23553058000168;CINZA
23557786000148;CINZA
23589509000117;CINZA
23591961000113;CINZA
23648309000198;CINZA
23681946000166;VERDE
23715221000141;CINZA
23843542000121;CINZA
23853702000113;CINZA
23862892000135;CINZA
23894167000149;CINZA
23943196000153;CINZA
23945101000130;CINZA
23968824000155;CINZA
23977218000104;CINZA
24039733000106;CINZA
24070185000179;CINZA
24076256000140;CINZA
24081040000173;CINZA
24143859000118;CINZA
24171048000120;CINZA
24180971000200;CINZA
24300302000143;CINZA
24310374000171;CINZA
24365861000131;CINZA
24406090000183;CINZA
24442856000185;CINZA
24501572000112;CINZA
24511821000150;CINZA
24547279000196;CINZA
24582675000154;CINZA
24599077000198;CINZA
24615804000163;CINZA
24641977000156;CINZA
24647060000169;CINZA
24676539000123;VERDE
24693338000134;CINZA
24714782000199;CINZA
24722405000100;VERDE
24734022000143;CINZA
24740616000167;CINZA
24796180000128;CINZA
24828247000169;CINZA
24928930000178;CINZA
24935116000180;CINZA
24943552000100;CINZA
24949852000198;CINZA
24969346000160;CINZA
24990777000109;CINZA
24991795000105;CINZA
24996042000192;CINZA
24996645000194;CINZA
25086234000124;CINZA
25094635000126;VERDE
25095946000100;CINZA
25119534000162;CINZA
25139012000122;CINZA
25187752000134;CINZA
25211431000128;CINZA
25241600000172;CINZA
25302613000104;CINZA
25425527000199;CINZA
26160250000182;CINZA
26161864000189;CINZA
26167931000172;CINZA
26172225000119;CINZA
26206663000150;CINZA
26226883000146;CINZA
26279946000122;CINZA
26325996000107;CINZA
26345987000170;CINZA
26404731036972;VERDE
26437565000124;CINZA
26462693000128;CINZA
26511145000140;CINZA
26569444000136;CINZA
26592110000183;CINZA
26595380000148;CINZA
26613127000170;CINZA
26675941000119;CINZA
26749654000106;CINZA
26771275000112;CINZA
26837927000174;CINZA
26849177000150;CINZA
26857145000105;CINZA
26888696000128;CINZA
26919141000104;CINZA
26951409000187;CINZA
26981733000148;VERDE
26992371000190;CINZA
26997435000146;CINZA
27048148000152;CINZA
27078329000121;CINZA
27079485000107;CINZA
27091017000158;CINZA
27093558000115;VERMELHO
27101611000182;VERDE
27184980000186;CINZA
27188615000140;CINZA
27211830000114;CINZA
27314894000140;CINZA
27329686000115;CINZA
27364639000102;CINZA
27373811000194;CINZA
27398039000165;VERMELHO
27400207000100;CINZA
27482598000159;CINZA
27507915000144;CINZA
27512045000100;CINZA
27516078000110;CINZA
27542165000141;CINZA
27619693000151;CINZA
27651179000101;CINZA
27701786000120;CINZA
27750570000155;CINZA
27765356000172;CINZA
27891288000198;CINZA
27909824000135;CINZA
27969063000107;CINZA
28033634000160;CINZA
28043563000186;VERDE
28050380000198;CINZA
28080733000100;CINZA
28091333000192;CINZA
28204615000159;CINZA
28210116000174;CINZA
28249189000170;CINZA
28260682000190;CINZA
28328762000130;CINZA
28362175000168;CINZA
28364888000160;CINZA
28405602000148;CINZA
28417585000169;CINZA
28454731000126;CINZA
28460666000141;CINZA
28464432000172;CINZA
28478589000157;CINZA
28480921000118;CINZA
28493291000116;VERDE
28495295000133;CINZA
28517362000173;CINZA
28542548000182;CINZA
28599039000196;CINZA
28610147000112;CINZA
28736813000163;CINZA
28762712000167;CINZA
28778284000160;CINZA
28788028000154;CINZA
28888512000155;CINZA
28908834000119;CINZA
28924485000129;CINZA
28965577000157;CINZA
28972959000108;CINZA
28995259000139;CINZA
29048148000188;CINZA
29063262000187;CINZA
29072904000104;CINZA
29117364000138;CINZA
29170431000188;CINZA
29183386000104;CINZA
29198152000122;CINZA
29217373000109;CINZA
29225385000177;CINZA
29307486000197;CINZA
29318768000190;CINZA
29375306000104;CINZA
29539967000128;CINZA
29625454000130;CINZA
29648815000163;CINZA
29654488000152;CINZA
29701269000187;CINZA
29734971000147;CINZA
29748739000168;CINZA
29789382000166;CINZA
29813253000166;CINZA
29843584000149;CINZA
29861393000100;CINZA
29870777000199;CINZA
29899157000182;CINZA
29997472000142;CINZA
30030707000101;CINZA
30053365000145;CINZA
30064595000100;CINZA
30072473000165;CINZA
30072724000101;CINZA
30077215000171;CINZA
30091106000109;CINZA
30096023000102;CINZA
30097548000162;CINZA
30110444000140;CINZA
30149155000155;CINZA
30171778000124;CINZA
30179215000182;CINZA
30186196000111;CINZA
30197114000134;CINZA
30310374000174;CINZA
30363942000103;CINZA
30372930000137;CINZA
30384120000109;CINZA
30426667000111;CINZA
30426771000106;CINZA
30552971000105;CINZA
30572989000179;CINZA
30615453000193;CINZA
30643112000121;CINZA
30711383000177;VERMELHO
30721888000112;CINZA
30767580000108;CINZA
30825366000160;CINZA
30838984000145;CINZA
30839243000189;CINZA
30864737000113;CINZA
30886486000178;CINZA
30899461000290;""
30902803115340;CINZA
30912013000289;CINZA
30913216000109;CINZA
30915777000147;CINZA
30949422000179;CINZA
30963362000149;CINZA
30972476000155;CINZA
31000596000153;CINZA
31076015000167;CINZA
31083980000167;CINZA
31110720000133;CINZA
31160130000115;CINZA
31170577000175;CINZA
31202819000165;CINZA
31280650000161;CINZA
31291203000108;CINZA
31298043000129;CINZA
31385611000129;CINZA
31442208000194;CINZA
31484105000197;CINZA
31535993000120;CINZA
31548271000100;CINZA
31625149000190;CINZA
31800919000193;CINZA
31908009000129;CINZA
31920513000144;CINZA
31927854000141;CINZA
31932960000113;CINZA
31950373000157;CINZA
31968737000126;CINZA
32057498000115;CINZA
32078812000146;CINZA
32112587000117;CINZA
32152066000193;CINZA
32222246000102;CINZA
32276221000183;CINZA
32286827000108;CINZA
32296793000124;CINZA
32353309000151;CINZA
32366247000112;CINZA
32370083000105;CINZA
32376110000149;CINZA
32379450000123;CINZA
32391803000100;CINZA
32409488000100;CINZA
32446801000171;CINZA
32491856000101;CINZA
32501008000128;CINZA
32551344000185;CINZA
32572555000102;CINZA
32597362000106;CINZA
32614064000179;CINZA
32636891000163;CINZA
32676796000193;CINZA
32678683000127;CINZA
32680769000194;CINZA
32753244000131;CINZA
32756864000124;CINZA
32785497000197;CINZA
32845590000140;CINZA
32886515000208;""
32926023000118;CINZA
32947669000181;CINZA
32964586000109;CINZA
32977105000191;CINZA
32991557000128;CINZA
33000321000145;CINZA
33001234000102;CINZA
33041260065290;VERMELHO
33041260110938;CINZA
33041260187566;""
33042730000104;VERMELHO
33068505000147;CINZA
33107531000137;CINZA
33108158000139;CINZA
33113309000147;VERDE
33161129000130;CINZA
33176001000140;CINZA
33200049000147;VERMELHO
33260157000105;CINZA
33316446000189;CINZA
33321221000110;CINZA
33328661000108;CINZA
33350428000113;CINZA
33351441000197;CINZA
33356120000185;CINZA
33376989000191;CINZA
33386210000119;VERMELHO
33387798000125;CINZA
33434554000156;CINZA
33472766000128;CINZA
33490109000103;CINZA
33495402000163;CINZA
33506222000130;CINZA
33607075000194;CINZA
33611119000230;""
33628134000100;CINZA
33640494000128;CINZA
33664610000149;CINZA
33692728000180;CINZA
33697118000170;CINZA
33744795000100;CINZA
33790050000179;CINZA
33800508000123;CINZA
33805373000199;CINZA
33823497000105;CINZA
33877315000170;CINZA
33884670000177;CINZA
33889913000160;CINZA
33948785000188;CINZA
33984894000150;CINZA
33997228000157;CINZA
33998201000189;CINZA
34002257000102;CINZA
34039164000144;CINZA
34053656000194;CINZA
34063340000183;CINZA
34085111000160;CINZA
34097044000101;CINZA
34144256000194;CINZA
34155403000121;CINZA
34169762000138;CINZA
34177837000122;CINZA
34181617000172;CINZA
34207823000104;CINZA
34218992000140;CINZA
34219628000102;CINZA
34222988000155;CINZA
34226013000103;CINZA
34230574000178;CINZA
34274233000102;AMARELA
34282956000145;CINZA
34298041000128;CINZA
34308094000182;CINZA
34331370000123;CINZA
34343441000108;CINZA
34361011000119;CINZA
34421378000180;CINZA
34424012000165;CINZA
34456891000107;CINZA
34486596000101;CINZA
34524034000105;CINZA
34536323000116;CINZA
34539649000105;CINZA
34563467000161;CINZA
34566022000135;CINZA
34571919000157;CINZA
34584347000140;CINZA
34598719000198;CINZA
34682613000178;CINZA
34722662000197;CINZA
34733251000105;CINZA
34736780000154;CINZA
34749905000180;CINZA
34783405000165;CINZA
34807297000113;CINZA
34815866000172;CINZA
34816722000130;CINZA
34833924000190;CINZA
34888106000195;CINZA
34905765000192;CINZA
34912699000188;CINZA
34923968000101;CINZA
34936725000108;CINZA
34945443000177;CINZA
34979215000118;CINZA
35026123000186;CINZA
35027178000100;CINZA
35033220000104;CINZA
35094041000179;CINZA
35143211000168;CINZA
35156018000161;CINZA
35172950000188;CINZA
35181090000149;CINZA
35188206000171;CINZA
35202561000158;CINZA
35205953000170;CINZA
35244076000147;CINZA
35260481000159;CINZA
35265137000152;CINZA
35267754000197;CINZA
35275815000168;CINZA
35301535000187;CINZA
35332021000199;CINZA
35333183000141;CINZA
35367229000143;CINZA
35394908000101;CINZA
35493647000187;CINZA
35505127000147;CINZA
35585749000122;CINZA
35585886000167;CINZA
35690597000128;CINZA
35791391000194;VERDE
35793778000180;CINZA
35803577000116;CINZA
35804320000189;CINZA
35823300000155;CINZA
35881619000137;CINZA
35923617000163;CINZA
35960710000148;CINZA
35961761000194;CINZA
35990033000100;CINZA
36005541000150;CINZA
36018411000151;CINZA
36033357000113;CINZA
36057582000190;CINZA
36078730000152;CINZA
36084893000148;CINZA
36107294000100;CINZA
36124056000103;CINZA
36142129000181;CINZA
36159055000196;CINZA
36162415000109;CINZA
36193994000157;CINZA
36213349000159;CINZA
36213497000173;CINZA
36249373000148;CINZA
36272343000152;CINZA
36279678000100;CINZA
36298004000145;CINZA
36298089000161;CINZA
36301392000176;CINZA
36307200000139;CINZA
36321176000192;CINZA
36352705000115;CINZA
36353358000145;CINZA
36357666000149;CINZA
36385587000141;CINZA
36386706000180;CINZA
36416904000140;CINZA
36439630000104;CINZA
36450270000141;CINZA
36461206000166;CINZA
36477039000141;CINZA
36494770000185;CINZA
36515886000153;CINZA
36523431000180;CINZA
36523480000112;CINZA
36527223000230;""
36542025000164;AMARELA
36545256000121;CINZA
36576623000154;CINZA
36615431000100;CINZA
36618172000170;CINZA
36661282000115;CINZA
36705059000122;CINZA
36710314000125;CINZA
36711201000144;CINZA
36736812000147;CINZA
36739409000171;CINZA
36741013000169;CINZA
36741779000143;CINZA
36744127000162;CINZA
36747041000193;CINZA
36767122000155;CINZA
36788587000192;CINZA
36820263000194;CINZA
36824029000135;CINZA
36840894000175;CINZA
36851516000197;CINZA
36852041000153;CINZA
36867812000186;CINZA
36898185000140;CINZA
36945738000179;CINZA
36946693000157;CINZA
36950380000172;CINZA
36967535000183;""
36971156000167;""
36987190000120;""
36988041000185;""
37034430000134;""
37038741000171;""
37051385000126;""
37055768000172;""
37064925000106;""
37072422000182;""
37106739000192;CINZA
37109236000170;""
37111936000108;""
37177963000175;""
37206074000199;""
37217779000101;""
37277206000173;""
37293726000170;""
37297478000135;""
37301395000172;""
37345495000109;""
37356811000130;""
37361976000108;""
37382151000161;""
37398267000199;""
37416316000179;""
37451052000194;""
37487355000167;""
37487499000113;""
37578258000180;""
37588888000135;""
37599799000194;""
37605563000113;""
37616478000150;""
37621225000175;""
37640567000132;""
37648411000106;""
37662120000164;""
37669111000103;""
37742218000121;""
37757865000107;""
37812838000190;""
37850074000127;""
37858241000186;""
37858643000180;""
37865211000105;""
37891851000181;""
37912166000194;""
37919863000177;""
37922540000132;""
37930517000190;""
37961033000108;""
37970890000174;""
38026552000141;""
38027790000171;""
38032928000120;""
38040654000111;""
38057742000126;""
38093648000122;""
38104342000124;""
38108852000170;""
38225742000198;""
38233118000132;""
38252752000112;""
38322634000133;""
38328747000146;""
38341879000108;""
38355846000117;""
38369016000149;""
38371884000163;""
38375149000128;""
38401965000169;""
38407135000149;""
38435553000140;""
38436609000180;""
38468239000163;""
38479331000129;""
38544457000130;""
38581556000191;""
38596019000115;""
38658276000134;""
38731415000108;""
38779030000110;""
38828818000170;""
39157187000177;""
39241334000192;""
39269535000106;CINZA
39283301000105;""
39292885000185;""
39296434000116;""
39313409000101;""
39326486000198;""
39371115000128;""
39388917000140;""
39397777000177;""
39419250000104;""
39422918000164;""
39425743000149;""
39429200000108;""
39430929000196;""
39447248000130;CINZA
39478009000148;""
39484300000129;""
39484591000155;""
39500933000779;""
39509889000172;""
39516826000143;""
39523554000109;""
39535636000173;""
39584470000185;""
39599657000152;""
39601850000180;""
39619583000179;""
39659927000173;""
39665901000138;""
39674000000102;""
39677912000138;""
39695755000193;""
39699951000136;""
39709082000183;""
39727280000170;""
39731477000182;""
39753806000196;""
39776113000119;""
39793555000173;""
39835252000176;""
39846729000119;""
39857220000171;""
39879724000192;""
39893182000102;""
39931230000100;""
39957922000127;""
40090006000111;""
40106724000139;""
40108625000196;""
40112428000140;""
40165696000120;""
40239475000150;""
40239652000106;""
40248298000178;""
40257028000123;""
40258381000128;""
40259942000103;""
40272570000155;""
40283099000109;""
40287093000100;""
40319211000106;""
40357486000134;""
40399485000152;""
40402244000115;""
40495559000154;""
40509831000108;""
40521060000174;""
40529203000194;""
40562200000152;""
40564406000111;""
40603464000107;""
40667301000198;""
40668334000152;""
40687696000190;""
40689011000145;""
40699172000110;""
40714926000163;""
40762096000301;""
40782143000117;""
40801885000142;""
40809358000184;""
40810354000116;""
40820039000170;""
40841749000186;""
40889231000112;""
40904370000178;""
40920543000141;""
40928890000110;""
40931435000174;""
40950732000167;""
40955723000169;""
40956483000117;""
40959415000101;""
40977121000102;""
41018966000133;""
41035078000129;""
41052635000110;""
41114948000155;""
41116243000177;""
41120356000146;""
41153659000165;""
41157006000154;""
41164974000198;""
41189502000190;""
41193437000176;""
41199265000148;""
41213842000109;""
41245624000156;""
41270440000146;""
41286940000176;""
41290039000178;""
41334952000129;""
41368827000130;""
41378465000168;""
41380259000192;""
41398475000165;""
41409234000174;""
41431125000153;""
41454965000131;""
41455132000195;""
41464737000142;""
41471789000227;""
41474022000170;""
41487206000175;""
41494170000157;CINZA
41510444000154;""
41510490000153;""
41593678000102;""
41594497000109;""
41597193000197;""
41605639000188;""
41613833000105;""
41635165000117;""
41648519000168;""
41658275000102;""
41659539000134;""
41685072000105;""
41695766000115;""
41704368000118;""
41776333000194;""
41789281000190;""
41832893000119;""
41843573000164;""
41857440000147;""
41876598000164;""
41888966000194;""
41979671000123;""
42001963000150;""
42005532000161;""
42018137000113;""
42064948000150;""
42075471000109;""
42092662000189;""
42095780000140;""
42112242000117;""
42116974000185;""
42135314000141;""
42136487000184;""
42195399000153;""
42230646000105;""
42238153000111;""
42253875000145;""
42283922000101;""
42295344000115;""
42313441000193;""
42331462000131;CINZA
42344244000131;""
42353611000163;""
42431201000193;""
42445861000123;""
42484377000103;""
42508219000146;""
42527964000132;""
42536018000152;""
42542089000168;""
42557474000189;""
42573346000129;""
42581170000157;""
42605640000175;""
42638251000146;""
42715272000118;""
42728799000187;""
42773009000185;""
42788696000102;""
42791544000169;""
42803829000172;""
42807144000102;""
42819157000193;""
42823924000138;""
42835822000132;""
42862820000132;""
42926353000167;""
42951879000105;""
42974743000102;""
42977701000125;""
42979673000185;""
42986453000189;""
42990779000180;""
42993604000126;""
42995686000148;""
43022047000169;""
43046308000180;""
43121650000106;""
43123043000177;""
43157446000137;""
43168164000135;""
43192385000149;""
43193576000125;""
43197990000102;""
43249549000127;CINZA
43281611000168;""
43283811002527;CINZA
43286494000125;""
43294899000105;""
43311092000133;""
43313339000150;""
43316612000109;""
43384960000105;""
43385870000139;""
43414612000133;""
43425818000169;CINZA
43427917000180;""
43456150000117;""
43476731000110;""
43482274000177;""
43483480000100;""
43504241000180;""
43506804000170;""
43539557000108;""
43569739000121;""
43578418000193;CINZA
43585697000112;""
43617933000135;""
43625298000138;""
43626580000130;""
43638385000120;""
43651545000170;""
43677010000179;""
43686319000125;""
43702127000165;""
43712909000185;""
43718654000168;""
43720916000129;""
43726027000179;""
43738123000137;""
43771428000140;""
43777685000190;""
43800831000150;""
43801514000159;""
43803042000173;""
43820157000176;""
43826164000185;""
43826319000183;""
43835812000160;""
43843632000120;""
43886973000182;""
43887112000119;""
43905473000140;""
43943052000104;""
43948244000103;""
